timestamp,value,temperature,demand_factor,operational_efficiency,energy_price,hour,day_of_week,month,is_weekend,quarter,lag_1h,lag_24h,lag_168h,rolling_mean_24h,rolling_std_24h,rolling_mean_168h,temp_squared,temp_lag_1h,demand_efficiency_interaction,temp_demand_interaction
2022-01-08 00:00:00,1153.48,21.31,0.4928,0.8368,87.37,0,5,1,1,1,1361.2,1227.11,1188.15,1334.4529166666666,61.792603080555644,1330.7357738095238,454.11609999999996,23.52,0.41237504,10.501567999999999
2022-01-08 01:00:00,1210.76,22.38,0.5688,0.8143,88.05,1,5,1,1,1,1153.48,1277.21,1211.43,1331.6841666666667,65.82608706588799,1330.7317857142857,500.86439999999993,21.31,0.46317384,12.729743999999998
2022-01-08 02:00:00,1238.34,24.05,0.6726,0.7918,88.6,2,5,1,1,1,1210.76,1264.89,1165.22,1330.5779166666666,67.20604197599928,1331.1670238095237,578.4025,22.38,0.5325646799999999,16.17603
2022-01-08 03:00:00,1230.97,25.86,0.6291,0.8388,116.04,3,5,1,1,1,1238.34,1269.52,1221.48,1328.9716666666666,69.16104229271384,1331.2235119047618,668.7396,24.05,0.52768908,16.268525999999998
2022-01-08 04:00:00,1245.39,28.62,0.7017,0.8098,100.85,4,5,1,1,1,1230.97,1250.56,1186.6,1328.7562500000001,69.42344440570658,1331.5734523809524,819.1044,25.86,0.56823666,20.082654
2022-01-08 05:00:00,1226.05,30.27,0.6242,0.845,96.0,5,5,1,1,1,1245.39,1260.36,1209.24,1327.3266666666666,71.22304656723757,1331.6735119047619,916.2728999999999,28.62,0.527449,18.894534
2022-01-08 06:00:00,1313.31,30.42,0.7021,0.8409,98.23,6,5,1,1,1,1226.05,1327.61,1291.61,1326.7308333333333,71.28036517965504,1331.8026785714285,925.3764000000001,30.27,0.5903958899999999,21.357882
2022-01-08 07:00:00,1300.84,31.26,0.6422,0.8403,97.76,7,5,1,1,1,1313.31,1337.9,1289.52,1325.1866666666667,71.4291496742643,1331.8700595238097,977.1876000000001,30.42,0.53964066,20.075172000000002
2022-01-08 08:00:00,1290.0,28.84,0.6411,0.8167,96.46,8,5,1,1,1,1300.84,1321.92,1294.39,1323.8566666666666,71.78888600349798,1331.8439285714285,831.7456,31.26,0.52358637,18.489324
2022-01-08 09:00:00,1316.87,30.46,0.6952,0.8584,92.73,9,5,1,1,1,1290.0,1340.74,1301.17,1322.8620833333334,71.71011734932289,1331.937380952381,927.8116,28.84,0.5967596800000001,21.175792
