timestamp,value,temperature,demand_factor,operational_efficiency,energy_price,hour,day_of_week,month,is_weekend,quarter,lag_1h,lag_24h,lag_48h,lag_168h,rolling_mean_24h,rolling_std_24h,demand_factor_operational_efficiency_interaction,temperature_demand_factor_interaction,temperature_squared
2022-01-08 00:00:00,1153.48,21.31,0.4928,0.8368,87.37,0,5,1,1,1,1361.2,1227.11,1252.67,1188.15,1334.4529166666666,61.792603080555644,0.41237504,10.501567999999999,454.11609999999996
2022-01-08 01:00:00,1210.76,22.38,0.5688,0.8143,88.05,1,5,1,1,1,1153.48,1277.21,1210.12,1211.43,1331.6841666666667,65.82608706588799,0.46317384,12.729743999999998,500.86439999999993
2022-01-08 02:00:00,1238.34,24.05,0.6726,0.7918,88.6,2,5,1,1,1,1210.76,1264.89,1223.01,1165.22,1330.5779166666666,67.20604197599928,0.5325646799999999,16.17603,578.4025
2022-01-08 03:00:00,1230.97,25.86,0.6291,0.8388,116.04,3,5,1,1,1,1238.34,1269.52,1237.31,1221.48,1328.9716666666666,69.16104229271384,0.52768908,16.268525999999998,668.7396
2022-01-08 04:00:00,1245.39,28.62,0.7017,0.8098,100.85,4,5,1,1,1,1230.97,1250.56,1212.6,1186.6,1328.7562500000001,69.42344440570658,0.56823666,20.082654,819.1044
2022-01-08 05:00:00,1226.05,30.27,0.6242,0.845,96.0,5,5,1,1,1,1245.39,1260.36,1211.21,1209.24,1327.3266666666666,71.22304656723757,0.527449,18.894534,916.2728999999999
2022-01-08 06:00:00,1313.31,30.42,0.7021,0.8409,98.23,6,5,1,1,1,1226.05,1327.61,1274.35,1291.61,1326.7308333333333,71.28036517965504,0.5903958899999999,21.357882,925.3764000000001
2022-01-08 07:00:00,1300.84,31.26,0.6422,0.8403,97.76,7,5,1,1,1,1313.31,1337.9,1269.29,1289.52,1325.1866666666667,71.4291496742643,0.53964066,20.075172000000002,977.1876000000001
2022-01-08 08:00:00,1290.0,28.84,0.6411,0.8167,96.46,8,5,1,1,1,1300.84,1321.92,1344.88,1294.39,1323.8566666666666,71.78888600349798,0.52358637,18.489324,831.7456
2022-01-08 09:00:00,1316.87,30.46,0.6952,0.8584,92.73,9,5,1,1,1,1290.0,1340.74,1297.59,1301.17,1322.8620833333334,71.71011734932289,0.5967596800000001,21.175792,927.8116
2022-01-08 10:00:00,1325.45,25.38,0.6784,0.8471,99.92,10,5,1,1,1,1316.87,1365.74,1306.07,1306.52,1321.1833333333334,71.13196130320468,0.57467264,17.217792,644.1443999999999
